Points,Threads,SerialTime,ParallelTime,PI,Speedup,Efficiency
1000000,1,0.01053849,0.00973873,3.13978000,1.082122,108.2122
1000000,2,0.01053849,0.00487998,3.14183200,2.159536,107.9768
1000000,3,0.01053849,0.00291192,3.14250000,3.619081,120.6360
1000000,4,0.01053849,0.00218084,3.14216800,4.832311,120.8078
5000000,1,0.03867208,0.03785789,3.14016480,1.021506,102.1506
5000000,2,0.03867208,0.01915315,3.13994080,2.019098,100.9549
5000000,3,0.03867208,0.01668694,3.14019600,2.317505,77.2502
5000000,4,0.03867208,0.01030917,3.14091040,3.751229,93.7807
10000000,1,0.07653867,0.07568632,3.14106840,1.011262,101.1262
10000000,2,0.07653867,0.03761341,3.14089680,2.034877,101.7439
10000000,3,0.07653867,0.02553571,3.14102000,2.997319,99.9106
10000000,4,0.07653867,0.02062247,3.14143640,3.711421,92.7855
20000000,1,0.15278574,0.15060967,3.14139880,1.014448,101.4448
20000000,2,0.15278574,0.07511828,3.14095340,2.033936,101.6968
20000000,3,0.15278574,0.05527460,3.14088320,2.764122,92.1374
20000000,4,0.15278574,0.03863422,3.14106420,3.954674,98.8668
50000000,1,0.38245739,0.37880235,3.14174808,1.009649,100.9649
50000000,2,0.38245739,0.19013888,3.14142248,2.011463,100.5732
50000000,3,0.38245739,0.12866174,3.14186200,2.972581,99.0860
50000000,4,0.38245739,0.09531997,3.14177400,4.012353,100.3088
