Schedule,Interval,Threads,SerialTime,ParallelTime,Speedup,Efficiency
Static,1000000,1,0.00059681,0.00048507,1.230356,123.0356
Dynamic,1000000,1,0.00059681,0.00055958,1.066534,106.6534
Guided,1000000,1,0.00059681,0.00047973,1.244049,124.4049
Auto,1000000,1,0.00059681,0.00047785,1.248941,124.8941
Static,1000000,2,0.00059681,0.00037566,1.588690,79.4345
Dynamic,1000000,2,0.00059681,0.00028386,2.102506,105.1253
Guided,1000000,2,0.00059681,0.00024026,2.484013,124.2007
Auto,1000000,2,0.00059681,0.00023939,2.493072,124.6536
Static,1000000,3,0.00059681,0.00019117,3.121843,104.0614
Dynamic,1000000,3,0.00059681,0.00019194,3.109401,103.6467
Guided,1000000,3,0.00059681,0.00016094,3.708339,123.6113
Auto,1000000,3,0.00059681,0.00016091,3.708962,123.6321
Static,1000000,4,0.00059681,0.00021734,2.745944,68.6486
Dynamic,1000000,4,0.00059681,0.00014997,3.979416,99.4854
Guided,1000000,4,0.00059681,0.00012146,4.913586,122.8396
Auto,1000000,4,0.00059681,0.00012016,4.966910,124.1728
Static,5000000,1,0.00299508,0.00239118,1.252552,125.2552
Dynamic,5000000,1,0.00299508,0.00243927,1.227858,122.7858
Guided,5000000,1,0.00299508,0.00465734,0.643087,64.3087
Auto,5000000,1,0.00299508,0.00672733,0.445210,44.5210
Static,5000000,2,0.00299508,0.00370313,0.808796,40.4398
Dynamic,5000000,2,0.00299508,0.00305612,0.980025,49.0013
Guided,5000000,2,0.00299508,0.00341204,0.877796,43.8898
Auto,5000000,2,0.00299508,0.00360141,0.831639,41.5820
Static,5000000,3,0.00299508,0.00241434,1.240537,41.3512
Dynamic,5000000,3,0.00299508,0.00144643,2.070673,69.0224
Guided,5000000,3,0.00299508,0.00145171,2.063140,68.7713
Auto,5000000,3,0.00299508,0.00235083,1.274048,42.4683
Static,5000000,4,0.00299508,0.00168078,1.781953,44.5488
Dynamic,5000000,4,0.00299508,0.00108766,2.753679,68.8420
Guided,5000000,4,0.00299508,0.00129418,2.314268,57.8567
Auto,5000000,4,0.00299508,0.00177438,1.687960,42.1990
Static,10000000,1,0.01438487,0.01397925,1.029016,102.9016
Dynamic,10000000,1,0.01438487,0.01168118,1.231457,123.1457
Guided,10000000,1,0.01438487,0.01332329,1.079679,107.9679
Auto,10000000,1,0.01438487,0.01396570,1.030014,103.0014
Static,10000000,2,0.01438487,0.00681296,2.111399,105.5700
Dynamic,10000000,2,0.01438487,0.00594587,2.419303,120.9651
Guided,10000000,2,0.01438487,0.00704623,2.041498,102.0749
Auto,10000000,2,0.01438487,0.00718260,2.002739,100.1370
Static,10000000,3,0.01438487,0.00473977,3.034933,101.1644
Dynamic,10000000,3,0.01438487,0.00304399,4.725669,157.5223
Guided,10000000,3,0.01438487,0.00477686,3.011362,100.3787
Auto,10000000,3,0.01438487,0.00482846,2.979181,99.3060
Static,10000000,4,0.01438487,0.00365249,3.938376,98.4594
Dynamic,10000000,4,0.01438487,0.00243549,5.906358,147.6590
Guided,10000000,4,0.01438487,0.00271670,5.294971,132.3743
Auto,10000000,4,0.01438487,0.00349093,4.120642,103.0161
Static,20000000,1,0.02763674,0.02749478,1.005163,100.5163
Dynamic,20000000,1,0.02763674,0.02308650,1.197095,119.7095
Guided,20000000,1,0.02763674,0.02792917,0.989530,98.9530
Auto,20000000,1,0.02763674,0.02874115,0.961574,96.1574
Static,20000000,2,0.02763674,0.01398450,1.976240,98.8120
Dynamic,20000000,2,0.02763674,0.01246045,2.217957,110.8979
Guided,20000000,2,0.02763674,0.01409040,1.961388,98.0694
Auto,20000000,2,0.02763674,0.01365704,2.023625,101.1813
Static,20000000,3,0.02763674,0.00913572,3.025129,100.8376
Dynamic,20000000,3,0.02763674,0.00831584,3.323386,110.7795
Guided,20000000,3,0.02763674,0.00905520,3.052029,101.7343
Auto,20000000,3,0.02763674,0.00950762,2.906800,96.8933
Static,20000000,4,0.02763674,0.00715737,3.861296,96.5324
Dynamic,20000000,4,0.02763674,0.00564007,4.900068,122.5017
Guided,20000000,4,0.02763674,0.00733862,3.765931,94.1483
Auto,20000000,4,0.02763674,0.00705250,3.918717,97.9679
Static,50000000,1,0.06776411,0.07081959,0.956855,95.6855
Dynamic,50000000,1,0.06776411,0.05707501,1.187282,118.7282
Guided,50000000,1,0.06776411,0.06897860,0.982393,98.2393
Auto,50000000,1,0.06776411,0.06963130,0.973185,97.3185
Static,50000000,2,0.06776411,0.03544994,1.911544,95.5772
Dynamic,50000000,2,0.06776411,0.02964739,2.285669,114.2834
Guided,50000000,2,0.06776411,0.03484677,1.944631,97.2316
Auto,50000000,2,0.06776411,0.03594256,1.885345,94.2672
Static,50000000,3,0.06776411,0.02347039,2.887217,96.2406
Dynamic,50000000,3,0.06776411,0.01818158,3.727075,124.2358
Guided,50000000,3,0.06776411,0.02350459,2.883016,96.1005
Auto,50000000,3,0.06776411,0.02373410,2.855137,95.1712
Static,50000000,4,0.06776411,0.01745218,3.882845,97.0711
Dynamic,50000000,4,0.06776411,0.01208941,5.605244,140.1311
Guided,50000000,4,0.06776411,0.01685637,4.020090,100.5022
Auto,50000000,4,0.06776411,0.01783549,3.799397,94.9849
