InputSize,Threads,SerialTime,ParallelTime,Speedup,Efficiency
1000,1,0.00051245,0.00046833,1.094198,109.4198
1000,2,0.00051245,0.00085381,0.600191,30.0096
1000,4,0.00051245,0.00131242,0.390462,9.7615
1000,8,0.00051245,0.00203259,0.252116,3.1515
1000,16,0.00051245,0.00437192,0.117214,0.7326
2000,1,0.00249458,0.00241805,1.031650,103.1650
2000,2,0.00249458,0.00233973,1.066183,53.3091
2000,4,0.00249458,0.00263950,0.945096,23.6274
2000,8,0.00249458,0.00406808,0.613208,7.6651
2000,16,0.00249458,0.00890288,0.280200,1.7512
4000,1,0.00980218,0.00700589,1.399133,139.9133
4000,2,0.00980218,0.00562797,1.741689,87.0845
4000,4,0.00980218,0.00599720,1.634458,40.8615
4000,8,0.00980218,0.00803123,1.220508,15.2563
4000,16,0.00980218,0.01762437,0.556172,3.4761
8000,1,0.02005787,0.01718905,1.166898,116.6898
8000,2,0.02005787,0.01448940,1.384314,69.2157
8000,4,0.02005787,0.01423515,1.409038,35.2259
8000,8,0.02005787,0.01699755,1.180044,14.7506
8000,16,0.02005787,0.03518633,0.570047,3.5628
12000,1,0.04462384,0.03588363,1.243571,124.3571
12000,2,0.04462384,0.02891823,1.543104,77.1552
12000,4,0.04462384,0.02431231,1.835443,45.8861
12000,8,0.04462384,0.02592345,1.721370,21.5171
12000,16,0.04462384,0.05315700,0.839473,5.2467
