InputSize,Threads,SerialTime,ParallelTime,Speedup,Efficiency
100000,1,0.00008385,0.00008209,1.021489,102.1489
100000,2,0.00008385,0.00015348,0.546331,27.3166
100000,4,0.00008385,0.00011245,0.745676,18.6419
100000,8,0.00008385,0.00012332,0.679977,8.4997
100000,16,0.00008385,0.00022001,0.381132,2.3821
500000,1,0.00042113,0.00035915,1.172570,117.2570
500000,2,0.00042113,0.00019037,2.212133,110.6067
500000,4,0.00042113,0.00019088,2.206211,55.1553
500000,8,0.00042113,0.00008951,4.704740,58.8092
500000,16,0.00042113,0.00020899,2.015034,12.5940
1000000,1,0.00083762,0.00071962,1.163975,116.3975
1000000,2,0.00083762,0.00037636,2.225611,111.2805
1000000,4,0.00083762,0.00025990,3.222850,80.5713
1000000,8,0.00083762,0.00021133,3.963536,49.5442
1000000,16,0.00083762,0.00026288,3.186377,19.9149
5000000,1,0.00436343,0.00377217,1.156743,115.6743
5000000,2,0.00436343,0.00313419,1.392204,69.6102
5000000,4,0.00436343,0.00099744,4.374610,109.3653
5000000,8,0.00436343,0.00053433,8.166176,102.0772
5000000,16,0.00436343,0.00048271,9.039432,56.4964
10000000,1,0.00490246,0.00513834,0.954094,95.4094
10000000,2,0.00490246,0.00368494,1.330403,66.5202
10000000,4,0.00490246,0.00206652,2.372321,59.3080
10000000,8,0.00490246,0.00104445,4.693834,58.6729
10000000,16,0.00490246,0.00065110,7.529506,47.0594
