Method,InputSize,Threads,SerialTime,ParallelTime,Speedup,Efficiency
Critical,1000000,1,0.00137474,0.00133092,1.032925,103.2925
Atomic,1000000,1,0.00137474,0.00588200,0.233720,23.3720
Reduction,1000000,1,0.00137474,0.00130145,1.056310,105.6310
Master,1000000,1,0.00137474,0.00093615,1.468496,146.8496
Locks,1000000,1,0.00137474,0.00969931,0.141736,14.1736
Critical,1000000,2,0.00137474,0.00072465,1.897109,94.8554
Atomic,1000000,2,0.00137474,0.01348947,0.101912,5.0956
Reduction,1000000,2,0.00137474,0.00065206,2.108306,105.4153
Master,1000000,2,0.00137474,0.00094063,1.461502,73.0751
Locks,1000000,2,0.00137474,0.04308464,0.031908,1.5954
Critical,1000000,3,0.00137474,0.00062224,2.209337,73.6446
Atomic,1000000,3,0.00137474,0.01429817,0.096148,3.2049
Reduction,1000000,3,0.00137474,0.00048759,2.819443,93.9814
Master,1000000,3,0.00137474,0.00095330,1.442082,48.0694
Locks,1000000,3,0.00137474,0.08141248,0.016886,0.5629
Critical,1000000,4,0.00137474,0.00049032,2.803762,70.0941
Atomic,1000000,4,0.00137474,0.01571160,0.087498,2.1875
Reduction,1000000,4,0.00137474,0.00034930,3.935728,98.3932
Master,1000000,4,0.00137474,0.00053661,2.561880,64.0470
Locks,1000000,4,0.00137474,0.10460884,0.013142,0.3285
Critical,5000000,1,0.00721471,0.00685804,1.052007,105.2007
Atomic,5000000,1,0.00721471,0.02862044,0.252082,25.2082
Reduction,5000000,1,0.00721471,0.00667315,1.081154,108.1154
Master,5000000,1,0.00721471,0.00433156,1.665612,166.5612
Locks,5000000,1,0.00721471,0.04902115,0.147175,14.7175
Critical,5000000,2,0.00721471,0.00351219,2.054191,102.7095
Atomic,5000000,2,0.00721471,0.07150703,0.100895,5.0448
Reduction,5000000,2,0.00721471,0.00337481,2.137813,106.8906
Master,5000000,2,0.00721471,0.00485489,1.486069,74.3035
Locks,5000000,2,0.00721471,0.20663812,0.034915,1.7457
Critical,5000000,3,0.00721471,0.00246631,2.925306,97.5102
Atomic,5000000,3,0.00721471,0.07353585,0.098111,3.2704
