InputSize,Threads,SerialTime,ParallelTime,Speedup,Efficiency
1000000,1,0.00899060,0.00801318,1.121976,112.1976
1000000,2,0.00899060,0.00298760,3.009305,150.4652
1000000,3,0.00899060,0.00204737,4.391292,146.3764
1000000,4,0.00899060,0.00172701,5.205862,130.1465
1000000,8,0.00899060,0.00200193,4.490973,56.1372
5000000,1,0.04142400,0.03843202,1.077851,107.7851
5000000,2,0.04142400,0.01471077,2.815896,140.7948
5000000,3,0.04142400,0.01476875,2.804840,93.4947
5000000,4,0.04142400,0.01331939,3.110052,77.7513
5000000,8,0.04142400,0.01360520,3.044717,38.0590
10000000,1,0.07906045,0.07630125,1.036162,103.6162
10000000,2,0.07906045,0.03260684,2.424658,121.2329
10000000,3,0.07906045,0.03170500,2.493627,83.1209
10000000,4,0.07906045,0.02903942,2.722522,68.0630
10000000,8,0.07906045,0.02912733,2.714305,33.9288
20000000,1,0.15888083,0.15560871,1.021028,102.1028
20000000,2,0.15888083,0.06799166,2.336769,116.8385
20000000,3,0.15888083,0.04696053,3.383284,112.7761
20000000,4,0.15888083,0.05221041,3.043087,76.0772
20000000,8,0.15888083,0.05903891,2.691121,33.6390
50000000,1,0.39426477,0.38191319,1.032341,103.2341
50000000,2,0.39426477,0.15307579,2.575618,128.7809
50000000,3,0.39426477,0.11003359,3.583131,119.4377
50000000,4,0.39426477,0.13414636,2.939064,73.4766
50000000,8,0.39426477,0.11141040,3.538851,44.2356
